Sample_ID,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
18,0.002382874009767739,0.0014084297089743093,-0.013161846888763106,-0.0008933426054930071,0.015387115198870741,-0.020384493939169614
19,-0.003371302980452082,0.0059717942706298205,-0.00014939616732486264,-0.009146680559743601,0.012242832142104447,-0.006461137569028579
20,0.002227856525232315,0.0064804508803142985,0.00672314139700162,0.018361443714750868,0.010462680179757905,-0.011477858727621937
21,0.01703437464917146,-0.0022182175173593027,0.00029559792546942807,0.002031964126230685,-0.002252797392827625,-0.011342931222157838
22,0.007105159632302882,-0.0016788280521120497,-0.018761087558952387,-0.011625301110221215,0.012006763492921478,-0.021885949518183342
23,0.012901389986597862,-0.011094992101156246,-0.002656891781139149,0.013105369051748075,-0.013881745401883097,0.01627883567574988
24,0.004966630085671474,0.0056603479146022226,0.009472661655929221,0.011017797452224426,0.0021381845444866814,-0.0028119195617564547
25,-0.0006318587070890533,0.00244373027025868,-0.009677888403013922,-0.015384052199128667,0.012348893853270634,-0.010599004766919771
26,-0.010086431049085338,0.007974922191656329,0.0036946118691411106,-0.024033094645374935,0.012657586305777088,0.0038019783415168982
27,0.007666457536194641,0.0012994447583687889,0.008736555276174182,-0.016375757684982777,-0.0010486703872311766,0.002366713682411598
28,-0.05225203119084395,-0.0040338793358617175,-0.006988195862895446,0.01717180952528655,-0.027990969743473374,-0.03826431058148503
29,-0.001376539883670304,0.0018901560220684808,-0.001132266811687394,-0.02128465363562326,0.011206483304829292,-0.004067463090929662
30,-0.03805375843095834,-0.022150136648234734,0.031738653932035635,-0.008928472541978823,-0.03977261424884324,-0.01902982300028881
31,-0.04810870819140164,-0.0174509355463566,0.02022207128811102,-0.0008997624352914172,-0.022965358364720915,-0.034112891210816856
32,-0.012983433004684566,0.001052153663107725,0.018463273557046644,0.011693278882157324,0.013735126766086368,0.017570787783676815
33,-0.0064805068970797425,0.016506016722618443,0.00524272268790496,-0.010657243424349285,-0.005800477297857967,0.013478568998390091
