Sample_ID,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13,Component 14
34,-0.009235003127553413,0.013076548902049448,-0.00015569333860548145,0.02325345599438884,0.030099142283081595,0.025831558551753453,-0.042745071534081525,0.005897847321990672,-0.01132972346343046,0.0009977269639531077,-0.007967514420481048,-0.0017908308069808313,0.016637247478762232,0.002691215848889045
35,-0.011920217070807324,0.04061736138137284,-0.014888277369718358,0.01355838657828447,0.004098484782388207,0.027625079032458887,0.040348969891949485,0.010081398478675072,-0.004410233506141263,-0.008883498535444657,0.0026393426246510555,-0.019881695313724263,0.007156418628861915,-0.0031319885081850522
36,0.01411997563462123,0.04088322920802242,0.0005454751373885554,-0.022641293151262787,0.05403519943033486,0.0036615930516821537,0.024543258046302044,0.0029520859294878982,-0.0023292206696093557,-0.05768193306144535,0.014762231554844274,-0.0052811288960600946,-0.008869564768196003,0.038583348770991864
37,0.00882920746466446,-0.030271671115771517,0.0031007621299795752,-0.010669373744733295,-0.013510214033494686,0.01518864442787138,0.019642812713017804,-0.021618209334884064,-0.013654681114423833,-0.010545215672388124,-0.01884704203499245,0.03697560429940533,-0.005671100258552793,0.011602672966470716
38,0.02168818136966238,0.0019618001879711192,0.01902428708778349,-0.0173022388739211,0.02995942111252289,0.03604863106584367,-0.04556927364666719,-0.029960865911107054,0.014991583697694598,0.003975468929057494,0.007397916286292762,-0.02649134060340344,0.03261283455395343,-0.00019726702370956412
39,-0.017674708472681353,0.01946140898852826,-0.001599344057219265,-0.006236434262736117,0.033178625951554686,0.03277926448655294,0.02549379942465831,-0.013793294391577317,0.0071051358354276666,-0.001228109663015289,-0.005867847660161185,-0.030331397463493722,-0.012210303611586124,0.032895113315053015
40,-0.00894824157533656,0.037926043187928575,0.014561108645376207,-0.03463251526044312,0.005561486562342964,0.030034014272060063,0.011920140795163597,0.006370702057612457,0.0022364256535732045,0.03504705411533432,0.002403287607035091,0.005077226849811782,0.0012718016615205136,0.03341995101242387
41,0.0031906165341890405,0.013403905433410584,-0.006918323437138027,-0.0027852311310878793,0.03147323610015747,0.013335684362778892,-0.02173811966648281,-0.010339543285609473,0.02197387139847488,0.010269536233665898,-0.028687131210300455,0.012259277029915066,0.013091882426533861,0.006726175644715509
42,-0.008330149918980267,-0.007937799311166399,0.017325900331135194,0.002600643337119733,-0.02243522769304871,0.01200742464809736,0.04149176405115576,0.00452650566081375,-0.032558491388184514,0.013760684055361752,-0.00801476959493744,0.05222157607975866,0.0019419367716263505,-0.02308180834316656
43,0.027272204286229028,0.01595612885471312,0.024701355544105425,0.03584125531953584,0.05417416675718529,-0.016832904654904807,-0.03229858555489862,0.040782051657518324,-0.020110130397606747,-0.054471518088488345,0.027883469297274355,0.01674657592857433,-0.013355922201653332,-0.00171228259895846
44,0.01211671290263496,-0.004984737587825474,-0.026966268256437918,0.022362339868482118,-0.012668976115906633,-0.04379974517551363,-0.00020646927560572385,-0.060801269251107744,-0.05666901844017545,0.008449517047064403,-0.018042395773264122,0.016592194382675913,-0.037872340184069694,-0.026752455774970547
